Shipment Code,CV Number,No. Of Sacks,Total CBM,Weight,Shipment Status,Posting Date,Order Date,Payment,Product,Product Code,Age Range,Unit,Unit Price,Quantity,Alibaba Shipping Costs,Exchange Rates,PHP,Sub Total (PHP),Transaction Fee,Grand Total,Forwarder's Fee,Lalamove,Packaging Cost,Suggested Price,Actual Price,Base Price,COGS,Projected Sales Total,Projected Profit,Projected Profit (%),Total Markup
KPC 23930A-00203,,,,,,053125,,Paid,Ruffled Zippered Frogsuit,,0-9m,pc,$1.64,115,1.82,₱60.00,,,,,₱576.67,₱93.01,₱93.01,₱133.00,₱139.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Milkberry 2PC Girl Set,,0-9m,set,$1.85,147,2.91,₱60.00,,,,,₱921.43,₱148.62,₱148.62,₱152.00,₱160.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Guess Frogsuit,,0-9m,pc,$1.86,123,2.44,₱60.00,,,,,₱770.99,₱124.35,₱124.35,₱152.00,₱180.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Nine West 3PC Onesie,,0-9m,pc,$2.33,155,4.91,₱60.00,,,,,"₱1,554.51",₱250.73,₱250.73,₱195.00,₱215.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,H&M 2PC Set,,2T-8T,set,$2.90,25,0.59,₱60.00,,,,,₱188.05,₱30.33,₱30.33,₱233.00,₱255.00,,,,,,
KPC 23930A-00201,,,,,,032125,,Paid,R+B Frogsuit And Romper Set,,0-9m,pc,$2.62,600,12.00,₱58.00,,,,,"₱3,000.00","₱1,500.00","₱1,500.00",₱205.00,₱239.00,,,,,,
KPC 23930A-00201,,,,,,031425,,Paid,Baby Carrier,,0-24,pc,$2.76,200,12.00,₱58.00,,,,,"₱3,800.00","₱1,500.00","₱1,500.00",₱247.00,₱250.00,,,,,,
KPC 23930A-00201,,,,,,060525,,Paid,Little Beggining Romper,,0-18m,pc,$1.39,728,12.00,₱58.00,,,,,"₱3,800.00",₱200.00,₱200.00,₱110.00,₱89.00,,,,,,
KPC 23930A-00201,,,,,,060525,,Paid,4-PC set,,12m,set,$3.87,8,2.00,₱58.00,,,,,₱500.00,₱50.00,₱50.00,₱392.00,₱345.00,,,,,,
KPC 23930A-00201,,,,,,060525,,Paid,Disney 3-PC set,,0-12m,set,$2.49,59,4.00,₱58.00,,,,,₱500.00,₱100.00,₱100.00,₱201.00,₱175.00,,,,,,
KPC 23930A-00201,,,,,,060525,,Paid,Kotton Kandy 3PC- 4PC set,,0-9m,set,$2.35,580,12.00,₱58.00,,,,,"₱5,900.00","₱1,000.00","₱1,000.00",₱190.00,₱175.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,Zippered Frogsuit,,0-9m,pc,$1.58,1530,29.66,₱60.00,,,,,"₱7,868.50","₱1,513.17","₱1,513.17",₱130.00,₱129.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,Ruffled Sleeveless Onesie,,0-9m,pc,$0.73,1437,11.14,₱60.00,,,,,"₱2,956.09",₱568.48,₱568.48,₱60.00,₱64.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Rompers,,2m-4T,pc,$1.66,57,0.66,₱60.00,,,,,₱175.88,₱33.82,₱33.82,₱132.00,₱145.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Jumper,,2m-4T,pc,$1.10,44,0.34,₱60.00,,,,,₱90.51,₱17.41,₱17.41,₱87.00,₱105.00,,,,,,
,,,,,,060725,,Paid,H&M Organic Polo Shirts,,0-4T,pc,$1.10,137,1.59,₱60.00,,,,,₱422.74,₱81.30,₱81.30,₱90.00,₱115.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Polo Set,,1m-4T,set,$2.62,157,3.04,₱60.00,,,,,₱807.42,₱155.27,₱155.27,₱208.00,₱225.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Set,,1m-4T,set,$2.62,132,2.56,₱60.00,,,,,₱678.85,₱130.55,₱130.55,₱208.00,₱215.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Long Overalls,,1m-2T,pc,$1.10,109,0.00,₱60.00,,,,,₱400.00,₱150.00,₱150.00,₱91.00,₱125.00,,,,,,
KPC 23930A-00205,,,,,,060725,,Paid,Nicole Miller Onesie,,0-9m,pc,$0.59,2500,0.00,₱60.00,,,,,"₱4,000.00","₱1,500.00","₱1,500.00",₱48.00,₱58.00,,,,,,
KPC 23930A-00206,,,,,,060725,,Paid,H&M 2-PC Set,,1m-4T,set,$2.62,171,4.37,₱60.00,,,,,"₱1,115.22",₱182.23,₱182.23,₱211.00,₱229.00,,,,,,
KPC 23930A-00206,,,,,,070225,,Paid,Milkbery 3-PC Set,,0-9m,set,$2.48,299,7.65,₱60.00,,,,,"₱1,950.00",₱318.63,₱318.63,₱200.00,₱210.00,,,,,,
,,,,,,060725,,Paid,H&M Pants,,1m-4T,pc,$0.82,373,3.18,₱60.00,,,,,₱810.87,₱132.50,₱132.50,₱66.00,₱85.00,,,,,,
KPC 23930A-00206,,,,,,060725,,Paid,H&M Hoodie Blouse,,6m-4T,pc,$0.69,39,0.33,₱60.00,,,,,₱84.78,₱13.85,₱13.85,₱57.00,₱85.00,,,,,,
KPC 23930A-00206,,,,,,070925,,Paid,Chickpea Onesie,,0-9m,pc,$0.60,5216,44.47,₱60.00,,,,,"₱11,339.13","₱1,852.80","₱1,852.80",₱50.00,₱45.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Bear Tops,,0-3T,pc,$0.90,2134,17.95,₱60.00,,,,,"₱4,960.59","₱1,181.09","₱1,181.09",₱73.00,₱79.00,,,,,,
KPC 23930A-00210,,,,,,070625,,Paid,Emily Oliver Rompers,,0-24m,pc,$1.53,92,1.16,₱60.00,,,,,₱320.79,₱76.38,₱76.38,₱123.00,₱145.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Organic Romper,,0-12m,pc,$1.53,38,0.32,₱60.00,,,,,₱88.33,₱21.03,₱21.03,₱121.00,₱145.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Bear Romper,,0-9m,pc,$1.53,113,0.95,₱60.00,,,,,₱262.67,₱62.54,₱62.54,₱121.00,₱139.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Organic Dress,,0-4T,pc,$1.32,1010,8.50,₱60.00,,,,,"₱2,347.80",₱559.00,₱559.00,₱105.00,₱119.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Bear 2-PC Set,,0-24m,set,$2.08,70,1.18,₱60.00,,,,,₱325.44,₱77.49,₱77.49,₱167.00,₱179.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Bear Jumper 2-PC Set,,0-24m,set,$2.15,119,2.00,₱60.00,,,,,₱553.24,₱131.72,₱131.72,₱172.00,₱182.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Beart Girls 2-PC Set,,0-3T,set,$2.15,302,5.08,₱60.00,,,,,"₱1,404.03",₱334.29,₱334.29,₱172.00,₱188.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Bear Boys 2-PC Set,,0-4T,set,$2.15,51,0.86,₱60.00,,,,,₱237.10,₱56.45,₱56.45,₱172.00,₱179.00,,,,,,
KPC 23930A-00209,,,,,,080425,,Paid,Mixed Tops,,0-3T,pc,$0.67,329,2.44,₱60.00,,,,,"₱1,015.20",₱126.90,₱126.90,₱56.00,₱65.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,H&M Shorts,,0-4T,pc,$0.62,361,2.67,₱60.00,,,,,"₱1,113.94",₱139.24,₱139.24,₱53.00,₱85.00,,,,,,
KPC 23930A-00209,,,,,,070525,,Paid,H&M Baby Jogger,,0-9m,pc,$0.56,1148,8.50,₱60.00,,,,,"₱3,542.39",₱442.80,₱442.80,₱48.00,₱74.00,,,,,,
KPC 23930A-00209,,,,,,070525,,Paid,H&M Jogger,,0-9m,pc,$0.56,1724,12.77,₱60.00,,,,,"₱5,319.76",₱664.97,₱664.97,₱48.00,₱74.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,H&M Organic Pants,,0-4T,pc,$0.84,122,0.90,₱60.00,,,,,₱376.46,₱47.06,₱47.06,₱69.00,₱85.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,H&M Organic Polo,,1m-2T,pc,$0.90,63,0.47,₱60.00,,,,,₱194.40,₱24.30,₱24.30,₱74.00,₱110.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Long Sleeves Tops,,0-6T,pc,$1.11,358,2.65,₱60.00,,,,,"₱1,104.68",₱138.09,₱138.09,₱89.00,₱95.00,,,,,,
KPC 23930A-00209,,,,,,,,Paid,Rabbit Bear Organic Tops,,2T-4T,pc,$0.98,114,0.84,₱60.00,,,,,₱351.77,₱43.97,₱43.97,₱80.00,₱79.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Pants,,0-9m,pc,$0.76,112,0.83,₱60.00,,,,,₱345.60,₱43.20,₱43.20,₱63.00,₱74.00,,,,,,
KPC 23930A-00209,,,,,,070525,,Paid,Rabbit Bear Undies,,0-24m,pc,$0.42,445,1.65,₱60.00,,,,,₱686.57,₱85.82,₱85.82,₱35.00,₱45.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Shorts,,0-4T,pc,$0.76,865,6.41,₱60.00,,,,,"₱2,669.14",₱333.64,₱333.64,₱63.00,₱69.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Long Sleeves Dress,,0-12m,pc,$1.39,84,0.93,₱60.00,,,,,₱388.80,₱48.60,₱48.60,₱113.00,₱135.00,,,,,,
KPC 23930A-00209,,,,,,070525,,Paid,Rabbit Bear Quilted Long Sleeves Dress,,0-18m,pc,$1.46,224,2.49,₱60.00,,,,,"₱1,036.80",₱129.60,₱129.60,₱118.00,₱135.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Polo,,3m-4T,pc,$1.04,135,1.00,₱60.00,,,,,₱416.57,₱52.07,₱52.07,₱84.00,₱110.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,H&M Organic Shorts,,1m-4T,pc,$0.76,159,1.18,₱60.00,,,,,₱490.63,₱61.33,₱61.33,₱63.00,₱79.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Jogger & Pants,,12m-4T,pc,$0.98,244,1.81,₱60.00,,,,,₱752.91,₱94.11,₱94.11,₱80.00,₱85.00,,,,,,
,,,,,,,,Paid,R+B Pants,,3m-3T,pc,$0.98,63,0.47,₱60.00,,,,,₱194.40,₱24.30,₱24.30,₱80.00,₱85.00,,,,,,
KPC 23930A-00207,,,,,,071225,,Paid,Baby Yamp! Onesie,,0-24m,pc,$0.62,4328,33.17,₱60.00,,,,,"₱5,805.31","₱1,382.22","₱1,382.22",₱50.00,₱54.00,,,,,,
KPC 23930A-00208,,,,,,071525,,Paid,Chickpea Onesie Batch 2,,0-9m,pc,$0.60,3500,26.83,₱60.00,,,,,"₱4,694.69","₱1,117.78","₱1,117.78",₱49.00,₱39.00,,,,,,
KPC 23930A-00207,,,,,,072425,,Paid,Mixed Brands Onesie,,0-24m,pc,$0.56,3500,30.00,₱60.00,,,,,"₱7,140.00","₱1,500.00","₱1,500.00",₱47.00,₱39.00,,,,,,
KPC 23930A-00211,,,,,,080725,,Paid,Mixed Brands Onesie,,0-24,pc,$0.56,15240,110.00,₱60.00,,,,,"₱28,160.00","₱2,500.00","₱2,500.00",₱46.00,₱37.00,,,,,,
KPC 23930A-00212,,,,,,081625,,Paid,Btween 2-PC Dress,,4T-8T,set,$3.62,22,0.65,₱60.00,,,,,₱224.78,₱31.22,₱31.22,₱292.00,₱325.00,,,,,,
KPC 23930A-00212,,,,,,081625,,Paid,Rare Edition 2-PC Set,,3-24m,set,$1.86,107,2.37,₱60.00,,,,,₱819.92,₱113.88,₱113.88,₱154.00,₱169.00,,,,,,
KPC 23930A-00212,,,,,,081625,,Paid,H&M 2-PC Set,,4m-4T,set,$2.36,46,1.02,₱60.00,,,,,₱352.49,₱48.96,₱48.96,₱192.00,₱235.00,,,,,,
KPC 23930A-00212,,,,,,081625,,Paid,H&M Lace Top & Skirt 2-PC Set,,3T-12T,set,$2.78,8,0.18,₱60.00,,,,,₱61.30,₱8.51,₱8.51,₱224.00,₱255.00,,,,,,
KPC 23930A-00212,,,,,,081825,,Paid,H&M Polo And Pants  2-PC Set,,4m-4T,set,$2.36,23,0.51,₱60.00,,,,,₱176.25,₱24.48,₱24.48,₱192.00,₱225.00,,,,,,
KPC 23930A-00212,,,,,,090525,,Paid,Disney Non-Footed Frogsuit,,0-24m,pc,$1.32,211,3.11,₱60.00,,,,,"₱1,077.91",₱149.71,₱149.71,₱109.00,₱95.00,,,,,,
KPC 23930A-00212,,,,,,081625,,Paid,Tex Pastel Romper,,3m-9m,pc,$1.39,48,0.53,₱60.00,,,,,₱183.91,₱25.54,₱25.54,₱112.00,₱119.00,,,,,,
KPC 23930A-00212,,,,,,081825,,Paid,Premium Jumpers,,0-24m,pc,$1.04,795,11.73,₱60.00,,,,,"₱4,061.30",₱564.07,₱564.07,₱88.00,₱105.00,,,,,,
KPC 23930A-00212,,,,,,090525,,Paid,Baby Jackets,,0-3T,pc,$1.18,613,6.79,₱60.00,,,,,"₱2,348.66",₱326.20,₱326.20,₱96.00,₱125.00,,,,,,
KPC 23930A-00212,,,,,,090525,,Paid,Zippered Bamboo Frogsuit,,0-24m,pc,$1.52,272,4.01,₱60.00,,,,,"₱1,389.53",₱192.99,₱192.99,₱124.00,₱129.00,,,,,,
KPC 23930A-00212,,,,,,081625,,Paid,Rabbit Bear Frogsuit With Headband,,0-9m,set,$2.52,64,1.42,₱60.00,,,,,₱490.42,₱68.11,₱68.11,₱204.00,₱225.00,,,,,,
KPC 23930A-00212,,,,,,081825,,Paid,Rabbit Bear 2-PC Set,,0-3T,set,$2.09,161,3.56,₱60.00,,,,,"₱1,233.72",₱171.35,₱171.35,₱172.00,₱190.00,,,,,,
KPC 23930A-00212,,,,,,081825,,Paid,Boys 2-PC Set,,0-4T,set,$2.66,45,1.00,₱60.00,,,,,₱344.83,₱47.89,₱47.89,₱215.00,₱225.00,,,,,,
KPC 23930A-00212,,,,,,081825,,Paid,Mini Threads 2-PC Set,,3m-24m,set,$1.82,70,1.55,₱60.00,,,,,₱536.40,₱74.50,₱74.50,₱151.00,₱165.00,,,,,,
KPC 23930A-00212,,,,,,081825,,Paid,Mixed 3-PC Set,,0-24m,set,$2.38,279,7.21,₱60.00,,,,,"₱2,494.25",₱346.42,₱346.42,₱196.00,₱215.00,,,,,,
KPC 23930A-00212,,,,,,081825,,Paid,3-PC Set,,0-24,set,$2.38,114,2.94,₱60.00,,,,,"₱1,019.16",₱141.55,₱141.55,₱196.00,₱205.00,,,,,,
KPC 23930A-00212,,,,,,090525,,Paid,HB Sleeveless Onesie,,0-18m,pc,$0.68,249,1.84,₱60.00,,,,,₱636.02,₱88.34,₱88.34,₱56.00,₱60.00,,,,,,
KPC 23930A-00212,,,,,,090525,,Paid,HB Shortsleeves Onesie,,0-24m,pc,$0.68,215,1.59,₱60.00,,,,,₱549.17,₱76.27,₱76.27,₱56.00,₱60.00,,,,,,
KPC 23930A-00213,,,,,,081625,,Paid,Rabbit Bear Shortsleeves Onesie,,0-12m,pc,$0.76,771,6.72,₱60.00,,,,,"₱3,807.41","₱1,399.78","₱1,399.78",₱69.00,₱78.00,,,,,,
KPC 23930A-00213,,,,,,090525,,Paid,Grayson Collective Organic Onesie,,0-24m,pc,$0.42,41,0.36,₱60.00,,,,,₱202.47,₱74.44,₱74.44,₱43.00,₱60.00,,,,,,
KPC 23930A-00213,,,,,,082025,,Paid,Disney Jumper,,0-24m,pc,$1.32,174,2.27,₱60.00,,,,,"₱1,288.89",₱473.86,₱473.86,₱117.00,₱125.00,,,,,,
KPC 23930A-00213,,,,,,090525,,Paid,Disney 2-PC Set,,12m-18m,set,$1.89,76,1.32,₱60.00,,,,,₱750.62,₱275.96,₱275.96,₱165.00,₱185.00,,,,,,
KPC 23930A-00213,,,,,,081625,,Paid,Disney Corduroy 2-PC Set,,0-9m,set,$2.09,76,1.32,₱60.00,,,,,₱750.62,₱275.96,₱275.96,₱180.00,₱205.00,,,,,,
KPC 23930A-00214,,,,,,090525,,Paid,Baby Pants,,12m-4T,pc,$0.90,126,0.92,60.00,,,,,₱242.63,₱60.66,₱60.66,₱72.00,₱79.00,,,,,,
KPC 23930A-00214,,,,,,090525,,Paid,H&M Sweater,,4m-4T,pc,$1.25,43,0.31,60.00,,,,,₱82.80,₱20.70,₱20.70,₱99.00,₱125.00,,,,,,
KPC 23930A-00214,,,,,,090525,,Paid,Baby Sweater,,0-24m,pc,$0.76,326,2.39,60.00,,,,,₱627.77,₱156.94,₱156.94,₱62.00,₱75.00,,,,,,
KPC 23930A-00214,,,,,,081825,,Paid,Organic Cotton Willow + Whimsy 3-PC Set,,0-12m,set,$1.76,972,21.34,60.00,,,,,"₱5,615.25","₱1,403.81","₱1,403.81",₱145.00,₱159.00,,,,,,
KPC 23930A-00214,,,,,,090525,,Paid,Baby Bibs 5-PC Set,,0-9m,pc,$1.50,148,2.71,60.00,,,,,₱712.50,₱178.12,₱178.12,₱124.00,₱145.00,,,,,,
KPC 23930A-00214,,,,,,090525,,Paid,Bibs,,0-24m,pc,$0.25,1080,3.95,60.00,,,,,"₱1,039.86",₱259.97,₱259.97,₱21.00,₱22.00,,,,,,
KPC 23930A-00214,,,,,,090625,,Paid,Baby Berry Frogsuit,,0-24m,pc,$1.46,109,1.60,60.00,,,,,₱419.80,₱104.95,₱104.95,₱119.00,₱129.00,,,,,,
KPC 23930A-00214,,,,,,090525,,Paid,Dymples & Baby Berry Non Footed Frogsuit,,0-24m,pc,$1.82,226,3.31,60.00,,,,,₱870.40,₱217.60,₱217.60,₱146.00,₱145.00,,,,,,
KPC 23930A-00214,,,,,,090625,,Paid,Milkberry Frogsuit,,0-9m,pc,$1.46,101,1.48,60.00,,,,,₱388.99,₱97.25,₱97.25,₱119.00,₱135.00,,,,,,
,,,,,,090525,,,Kids Tops & Short,,12m-16T,set,$4.20,152,12.00,₱60.00,,,,,"₱1,500.00","₱1,000.00","₱1,000.00",₱351.00,₱355.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,Bamboo Cotton Non-Footed Frogsuit,,0-9m,pc,$1.34,161,3.40,₱60.00,,,,,₱978.33,₱223.36,₱223.36,₱114.00,₱125.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,Baby Berry Onesie Romper Sweatshirt,,0-24m,pc,$0.92,216,1.82,₱60.00,,,,,₱525.02,₱119.87,₱119.87,₱75.00,₱105.00,,,,,,
KPC 23930A-00215,,,,,,,,,Milkberry 2-PC Set,,0-9m,set,$1.94,173,4.38,₱60.00,,,,,"₱1,261.50",₱288.01,₱288.01,₱162.00,₱179.00,,,,,,
KPC 23930A-00215,,,,,,,,,Milkberry 2-PC Pajama Set,,12-24m,set,$1.96,35,0.89,₱60.00,,,,,₱255.22,₱58.27,₱58.27,₱163.00,₱185.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,Milkberry 4-PC Pajama Set,,12-24m,set,$4.02,7,0.35,₱60.00,,,,,₱102.09,₱23.31,₱23.31,₱333.00,₱360.00,,,,,,
KPC 23930A-00215,,,,,,,,,Rare Edition 2-PC Set,,3m-6T,set,$1.75,93,2.35,₱60.00,,,,,₱678.15,₱154.83,₱154.83,₱147.00,₱160.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,Disney 5-PC Set,,0-9m,set,$3.62,14,0.77,₱60.00,,,,,₱221.19,₱50.50,₱50.50,₱306.00,₱310.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,Milkberry 2-PC Girl Set,,0-3m,set,$2.22,10,0.30,₱60.00,,,,,₱85.07,₱19.42,₱19.42,₱185.00,₱185.00,,,,,,
KPC 23930A-00215,,,,,,,,,Disney 2-PC Set,,0-6m,set,$2.01,109,2.30,₱60.00,,,,,₱662.35,₱151.22,₱151.22,₱164.00,₱175.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,H&M Disney Jumpers,,4m-4T,pc,$1.46,50,0.63,₱60.00,,,,,₱182.30,₱41.62,₱41.62,₱118.00,₱149.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,H&M Denim Jumpers,,4m-6T,pc,$1.49,41,0.52,₱60.00,,,,,₱149.48,₱34.13,₱34.13,₱120.00,₱149.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,Baby Berry/Dymples Tops,,6m-24m,pc,$0.62,575,4.85,₱60.00,,,,,"₱1,397.61",₱319.09,₱319.09,₱52.00,₱69.00,,,,,,
KPC 23930A-00215,,,,,,,,,Chickpea Tops,,3m-24m,pc,$1.10,286,4.82,₱60.00,,,,,"₱1,390.32",₱317.43,₱317.43,₱93.00,₱110.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,Disney Vest,,0-24m,pc,$1.12,147,2.48,₱60.00,,,,,₱714.61,₱163.15,₱163.15,₱95.00,₱110.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,H&M Organic Shorts,,0-4T,pc,$0.64,692,5.84,₱60.00,,,,,"₱1,682.00",₱384.02,₱384.02,₱54.00,₱65.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,H&M Shorts,,4m-4T,pc,$0.70,56,0.47,₱60.00,,,,,₱136.12,₱31.08,₱31.08,₱58.00,₱70.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,H&M Dress,,4m-4T,pc,$1.26,36,0.76,₱60.00,,,,,₱218.76,₱49.94,₱49.94,₱108.00,₱145.00,,,,,,
KPC 23930A-00215,,,,,,101625,,,Bear Paw Dress,,2T-12T,pc,$1.96,51,1.08,₱60.00,,,,,₱309.91,₱70.75,₱70.75,₱161.00,₱180.00,,,,,,
,,,,,,101725,,,Baby Socks,,0-24m,pair,$0.24,1500,0.00,₱60.00,,,,,"₱3,500.00","₱1,500.00","₱1,500.00",₱24.00,₱28.00,,,,,,
